County,Crime Rate per 100k,Murder,Rape,Robbery,Assault,Burglary,Larceny,MV Theft,Arson,Population,Avg_Rating,Median_Rating,Avg_Price,Rest_Count,Avg_Lat,Avg_Lng
"Marion County, SC",941.6313295,8,12,51,231,771,1060,92,12,32072,4.32,4.5,1.5319148936170213,50,33.8394766689718,-79.1108138960639
"Dougherty County, GA",930.4176661,4,32,240,589,1600,3844,266,13,92969,4.07,4.0,1.6,50,31.602310975705613,-84.19467656634893
"Carter County, OK",930.0694974,4,42,37,368,450,1327,109,23,48491,2.888888888888889,3.0,1.4444444444444444,27,34.19685425952027,-97.15363900671433
"Genesee County, MI",922.7783984,69,242,980,2542,6105,8311,936,313,415376,4.16,4.0,1.48,50,42.99535301391583,-83.69782878410517
"Macon County, AL",919.341731,6,10,25,140,516,640,110,3,19688,3.125,3.25,1.125,16,32.43054430507167,-85.6926405991345
"Milwaukee County, WI",912.6349471,103,276,3426,4919,8744,29434,5223,351,956023,4.28,4.5,1.9574468085106382,50,43.02754424607665,-87.92777883103138
"Richland County, SC",911.4452882000003,24,184,809,2622,4965,12511,2087,51,399256,4.21,4.0,1.7959183673469388,50,34.005480646278464,-81.00361490936105
"Grundy County, TN",911.2461105,3,4,1,115,157,167,63,12,13498,4.428571428571429,4.5,1,7,35.415867527886256,-85.66827555066861
"Greene County, AL",903.4766697,0,2,7,70,48,90,15,12,8744,2.4,1.0,1,5,32.83480123332322,-87.93845406124309
"Rock County, MN",892.8571429,0,0,0,85,9,52,3,0,9520,3.59375,3.5,1.3,16,43.65900088808485,-96.2102353809873
"San Joaquin County, CA",887.1644385,89,152,1992,4016,8019,16847,4398,158,704379,4.25,4.5,1.6938775510204083,50,37.89838584279651,-121.26767382421303
"Pottawattamie County, IA",873.5225606,1,79,83,647,1166,3283,567,55,92728,4.357142857142857,4.5,1,7,41.309041987911556,-95.64944253710937
"Nolan County, TX",871.1844117999998,0,27,10,94,143,345,19,1,15037,3.3979591836734695,3.5,1.2,49,32.440405509485046,-100.3528235148149
"Winnebago County, IL",854.9331535,15,196,553,1721,2939,7356,492,101,290666,4.15,4.0,1.5909090909090908,50,42.2778686561626,-89.08316773413699
"Suffolk County, MA",831.2342903,60,310,2257,3653,3956,16223,1998,11,755503,4.17,4.0,2.183673469387755,50,42.3501379455774,-71.07223346870042
"Saginaw County, MI",828.830479,29,126,242,1232,1751,2707,223,56,196542,4.11,4.0,1.488888888888889,50,43.42093280389509,-84.00320591348806
"Dallas County, AL",828.6503477000001,9,24,70,245,743,1415,158,26,41996,3.1041666666666665,3.25,1.3529411764705883,24,32.41721984016567,-87.04022765347028
"Fulton County, GA",826.1767583,123,216,3365,4428,11091,31070,7645,135,984293,4.27,4.5,2.061224489795918,50,33.83284122247474,-84.43571139979697
"Anchorage Municipality, AK",824.7217146,15,303,488,1676,1159,8724,845,98,300950,4.26,4.0,2.0625,50,61.19565505801282,-149.88576443951692
"Madison County, FL",822.2981632,1,7,13,133,153,317,16,4,18728,3.8846153846153846,4.0,1.2,13,30.466163619836856,-83.41697871460487
"Phillips County, AR",818.6675817,1,8,26,132,478,442,33,11,20399,4.28,4.5,1.3703703703703705,50,34.34958563368305,-90.61590439042638
"Sangamon County, IL",817.9969369,40,160,318,1110,2104,6278,875,76,199145,4.11,4.0,1.6666666666666667,50,39.78299718859046,-89.64889209326232
"Haywood County, TN",812.1158911,0,7,10,131,226,396,26,5,18224,3.4411764705882355,4.0,1.1538461538461537,17,35.577961463586625,-89.25406421677158
"Lucas County, OH",810.9662621,40,184,1192,2122,7618,3320,1529,547,436393,4.23,4.0,1.7234042553191489,50,41.616494694204356,-83.5701080732337
"Robeson County, NC",809.8427036,13,32,273,775,2937,4637,385,69,134841,3.159090909090909,3.25,1.2352941176470589,44,34.656131461482275,-79.10593747134901
"Meade County, KS",805.8945428999998,0,1,0,34,5,23,0,0,4343,3.2,3.5,1.6666666666666667,5,37.26129202721174,-100.3582529516166
"Escambia County, FL",798.51676,22,162,502,1756,3899,9920,680,52,305817,3.57,3.5,1.5263157894736843,50,30.571037374759857,-87.26711377658508
"Jefferson County, AL",798.3574913,85,268,1597,3315,9910,19810,1809,185,659479,4.26,4.5,1.6511627906976745,50,33.49982253586088,-86.81928068191498
"Nicholas County, WV",793.3756981,1,7,2,196,86,308,19,16,25965,3.310344827586207,3.5,1.391304347826087,29,38.28906821775329,-80.8423980696569
"Franklin County, FL",793.2402137999999,1,16,1,74,84,130,11,1,11598,3.973684210526316,4.0,1.6428571428571428,19,29.805819600930864,-84.74807165887862
"St. Clair County, IL",782.1542957,28,183,349,1528,2426,5150,657,70,266955,4.03,4.0,1.565217391304348,50,38.4983672125352,-89.97784103933772
"Orleans Parish, LA",782.1184796,193,137,1066,1566,3431,8258,2218,0,378715,4.2,4.0,2.122448979591837,50,29.9511626173363,-90.07110780321702
"Ector County, TX",781.9089826000002,5,44,163,956,1090,3571,516,26,149378,3.3333333333333335,4.0,1.8571428571428572,18,31.84398332043568,-102.46659446158233
"Avoyelles Parish, LA",777.2585293,2,31,17,271,378,787,35,3,41299,3.462962962962963,3.5,1.4,27,31.117241964577868,-92.0660299778379
"Rapides Parish, LA",773.7920330000002,9,43,169,806,1747,4207,249,4,132723,3.99,4.0,1.6170212765957446,50,31.27603059108458,-92.47643563539805
"Sumter County, SC",767.644257,12,30,103,685,1611,2713,346,54,108123,3.87,4.0,1.4,50,33.93512195909295,-80.36817733925463
"Comanche County, OK",766.7864603999999,13,42,174,729,1702,3616,330,42,124937,4.02,4.0,1.6382978723404256,50,34.623430161773314,-98.4383618765309
"Mississippi County, AR",763.9897241,8,21,47,266,891,1273,114,6,44765,2.823529411764706,3.0,1.0833333333333333,17,35.69584371804651,-89.99614697106071
"Colleton County, SC",762.1467132,2,14,26,246,419,1151,194,14,37788,3.1714285714285713,3.5,1.3333333333333333,35,32.90334694414846,-80.67540888337321
"Modoc County, CA",754.3456871000002,1,12,3,53,58,90,4,5,9147,4.17,4.25,1.5,50,41.6359269263,-120.69846924766239
"Alameda County, CA",753.6935735000002,153,477,6220,5050,13245,35841,13044,337,1578891,4.11,4.0,1.74,50,37.6872164370139,-121.8912517818099
"Sumter County, GA",752.455044,0,4,40,192,741,826,42,0,31364,3.6,4.0,1.3513513513513513,50,32.05315758410083,-84.23229503432155
"Darlington County, SC",746.3016117999998,10,17,70,410,1178,2471,217,11,67935,4.05,4.0,1.46875,50,34.34654900616373,-80.0095874726638
"Red River Parish, LA",742.0733078,0,0,2,64,23,116,12,0,8894,3.5,3.5,1.6666666666666667,8,32.076150334258415,-93.37159535747898
"Lubbock County, TX",740.6920961,12,139,328,1664,3400,9224,828,52,289324,4.21,4.0,1.4042553191489362,50,33.57902700878661,-101.86995615010032
"Socorro County, NM",739.3084622,0,3,2,124,139,365,23,3,17584,3.7333333333333334,4.0,1.1818181818181819,30,34.06008475007289,-106.88744671322334
"Duval County, TX",738.8316151,1,0,5,80,105,171,65,5,11640,4.09,4.0,1.3695652173913044,50,27.803784072647574,-98.06643389639602
"Bernalillo County, NM",738.4818924,50,329,1184,3416,7857,22025,3032,139,674221,4.34,4.5,1.5957446808510638,50,35.08372502751624,-106.64413646330128
"Marion County, TX",732.7796776,1,9,5,60,115,144,13,4,10235,3.71875,3.75,1.7,32,32.75209759511288,-94.33150256068633
"Lee County, SC",730.3646372999998,0,4,18,112,255,511,66,8,18347,3.673076923076923,3.75,1.0625,26,34.20148374753941,-80.26421909419771
"Shasta County, CA",725.2206951000002,7,97,165,1029,1754,3623,903,35,178980,3.8666666666666667,4.0,1.8888888888888888,15,40.68027041782776,-122.29899220251806
"Laurens County, SC",724.7580365,6,31,49,394,734,1600,119,13,66229,3.28,3.5,1.2702702702702702,50,34.49010646575809,-81.9515490977713
"Hinds County, MS",721.5219335,66,143,846,712,4627,7416,1272,69,244899,3.54,4.0,1.4545454545454546,50,32.32812230156215,-90.32946339508567
"Cibola County, NM",720.6877628999998,1,15,7,174,232,199,51,2,27335,4.15,4.0,1.45,50,35.24670466110448,-108.27006595469366
"Tulsa County, OK",719.1412721,45,381,1122,2928,7291,15582,2702,263,622409,4.29,4.5,1.9166666666666667,50,36.14939767173538,-95.98399722738324
"Putnam County, FL",717.8582747,5,37,51,428,1029,1952,80,7,72577,3.74,4.0,1.4102564102564104,50,29.64575264001686,-81.65374998203609
"Jefferson County, TX",710.8948399,20,114,554,1106,3147,6454,519,99,252358,4.3,4.5,2,5,29.933684382782662,-94.15410027961723
"Ohio County, WV",706.6572141,0,24,46,240,322,764,56,4,43727,3.67,4.0,1.8409090909090908,50,40.06633370604032,-80.67340347871374
"San Francisco County, CA",701.4217103999998,69,110,3554,2141,5401,29256,5381,211,837442,4.27,4.5,1.9777777777777779,50,37.78000357235395,-122.42779780732526
"Bamberg County, SC",699.9351912000002,0,2,21,85,231,415,41,2,15430,3.8181818181818183,4.0,1.125,11,33.31606653479415,-81.12771792852693
"Merced County, CA",696.3544912000001,23,54,331,1425,2686,6047,1358,83,263228,4.21,4.0,1.625,50,37.29261861342725,-120.65325831405846
"Harris County, TX",696.1038338,307,1143,12449,16290,43644,114208,20829,1153,4336853,4.3,4.5,1.84,50,29.784441761586326,-95.4201007387537
"Jim Wells County, TX",695.7773512,13,17,7,253,467,1089,93,14,41680,3.4,3.5,1.2380952380952381,45,27.82819872118777,-98.07654925754306
"Oklahoma County, OK",694.8738489,83,398,1137,3630,10118,23238,4163,145,755245,4.32,4.5,1.7555555555555555,50,35.519291895621286,-97.50578710313074
"McKinley County, NM",694.3307687999999,7,42,67,393,540,1615,127,18,73308,4.09,4.0,1.5121951219512195,50,35.391152085342746,-108.448733873837
"Mississippi County, MO",693.1802269,2,4,6,87,128,286,13,8,14282,3.85,3.75,1.25,10,36.87492947231079,-89.35618397589168
"Alpine County, CA",690.2502157,0,3,0,5,18,20,5,0,1159,3.6666666666666665,3.75,1.6666666666666667,6,38.694956989901165,-119.79065825313566
"Calhoun County, GA",689.8666258,0,0,14,31,21,49,7,0,6523,4.8,5.0,1.3333333333333333,5,31.52064326592614,-84.60912506
"Dyer County, TN",688.2474551,0,9,23,231,387,1084,50,3,38213,3.234042553191489,3.5,1.3235294117647058,47,36.05196712169411,-89.39131063197264
"Clark County, NV",685.1530769999998,94,739,4422,8639,17538,33364,8213,297,2027868,4.19,4.25,1.7291666666666667,50,36.00879875336266,-115.00987984797283
"Guadalupe County, NM",681.1689739,0,0,6,25,34,53,8,1,4551,3.557142857142857,3.5,1.380952380952381,35,34.81625397435536,-104.66553723627845
"San Juan County, NM",675.0828044,6,133,57,657,725,2325,189,29,126503,3.97,4.0,1.6304347826086956,50,36.72998331376175,-108.1675116616238
"Fairfield County, SC",675.0616643,4,8,15,129,211,607,68,5,23109,3.7941176470588234,4.0,1,17,34.36355314744554,-81.08631485851538
"McDonald County, MO",673.8186009,1,4,4,143,110,266,25,6,22558,3.8333333333333335,4.25,1.375,12,36.61390614377894,-94.40656526241833
"Taylor County, FL",673.754211,3,10,6,135,117,164,15,3,22857,3.4696969696969697,4.0,1.2916666666666667,33,30.022149057619686,-83.55125711757867
"Wayne County, GA",668.2847357999998,8,6,24,163,318,1289,24,0,30077,3.391304347826087,3.5,1.3333333333333333,46,31.60819866226652,-81.88601412096102
"East Baton Rouge Parish, LA",667.0754469,84,77,1297,1512,5806,15182,671,213,445227,4.22,4.5,1.84,50,30.444383983885825,-91.11730391139395
"Leon County, FL",664.1948589,17,137,576,1142,3378,7002,641,25,281845,4.28,4.25,1.6734693877551021,50,30.454076704797995,-84.29292025596521
"Lander County, NV",663.1299735,0,9,0,31,38,55,11,3,6032,3.5535714285714284,3.5,1.4615384615384615,28,40.268784459808565,-116.97024016843557
